objectid,filename,title,creator,date,description,subject,material,extent,location,source,type,format,language,rights,surrogate,rightsstatement
Etr001,Etruscan_antefix.jpeg,Etruscan Antefix,,550 B.C.E.,"An antefix depicting the face of the female figure, which is oblong and tapering towards a pronounced chin; the figure's hair is curly, parted in the middle and drawn behind the ears; by the ear-lobes she wears a five-petalled flower on each side.",Antefixes; Architecture; Art; Women; Ceramics; House furnishings,Terracotta,17.3 x 15.3 cm,,Medelhavsmuseet,Image;StillImage,image/jpeg,,CC BY-NC-ND,Y,https://creativecommons.org/licenses/by-nc-nd/4.0/deed.en
Etr002,Etruscan_mirror.jpeg,Etruscan Mirror,Nerbini Publishing House,1934 C.E.,"Illustration of an Etruscan mirror from the book ""History of Costumes of Peoples Throughout the Centuries"" by Paolo Lorenzini, Nerbini Publishing House, Florence, 1934",Mirrors; Festival Architecture; Festivals; Glassware; House furnishings,Ink,,"Florence, IT",Promoter Digital Gallery,Image; StillImage,image/jpeg,eng/it,CC BY-SA 4.0,Y,https://creativecommons.org/licenses/by-sa/4.0/
Etr003,Etruscan_brooch.jpeg,Etruscan Brooch,,,A bronze fibula with a straight pin and coiled spring. The bow is arched to about midway and then continues as a flattened projection turning up at the end. The arched part of the bow has incised line decoration.,Brooches; Jewelry; House furnishings,Metal,6.6 x 6.6 cm,,The Hunt Museum,Image; Stillimage,image/jpeg,,Public Domain (CC0 1.0),Y,https://creativecommons.org/publicdomain/zero/1.0/
Etr004,Etruscan_grabstatute.jpeg,Etruscan Grave Statute,"Feist, Peter H. (Photographer)",1977 C.E.,A photograph of a stone statute recovered from an Etruscan catacomb in a Swiss museum. The statue depicts a young man in robes. ,Catacombs; Funeral decorations; Religious Life--Greek Pantheon; Men,Stone,5 x 5 cm,"Basel, CH",Media library of Art and Visual History of Humboldt University of Berlin,Image; Stillimage,image/jpeg,de,CC BY-SA 4.0,Y,https://creativecommons.org/licenses/by-sa/4.0/
Etr005,Etruscan_vase.jpeg,Etruscan Ceramic Vase,,,An Etruscan vase with etchings and two handles,Vases; Ceramics; Art; House furnishings,,,,Wellcome Collection,Image; Stillimage,image/jpeg,,CC BY 4.0,Y,http://creativecommons.org/licenses/by/4.0/
Etr006,Handbook_archeology.pdf,"Handbook of Archaeology: Egyptian, Greek, Etruscan, Roman","Westropp, Hodder M.",1867 C.E.,"Survey into the architecture of ancient civilizations in modern-day Egypt, Greece, and Italy. Contains depictions and descriptions of architecture pertaining to daily and religious life, including funeary rights",Archaeology; Architecture; Technology; Religious life,Ink,,,Heidelberg University Library,Application; PDF,application/pdf,eng,CC BY-SA 3.0,Y,https://creativecommons.org/licenses/by-sa/3.0/
Etr007,Etruscan_necropolis.jpeg,Etruscan Necropolis of Crocifisso del Tufo,"""Tundmatu""",1940 C.E.,"Photograph of the exteriror ruins of the Etruscan Necropolis of Crocifisso del Tufo. The facade is mostly in-tact, while the interior has been reduced to rubble.",Catacombs; Religious Life--Greek Pantheon;,Stone,,"Orvieto, IT",University of Tartu Art Musuem,Image; Stillimage,image/jpeg,,Public Domain (CC0 1.0),Y,https://creativecommons.org/publicdomain/zero/1.0/
Etr008,Etruscan_amphora.jpeg,Etruscan Amphora,,,"Reproduction. Turned-out rim; slightly flaring neck; two vertical strap handles from neck to shoulder; elongated ovoid body; flaring foot. Decoration (in dark brown to red paint): the upper side of the turned-out rim is painted with a zig-zag pattern, the underside with six thin horizontal lines; on neck a reclining s-pattern below which an area with two rows of thin triangles bordered by three horizontal lines both above and below; on handles four vertical lines with four horizontal ones at each attachment. ",Amphoras; Ceramics; House furnishings; Reproductions,,16.8 x 14 cm,,The Museum of Mediterranean and Near Eastern Antiquities,Image; Stillimage,image/jpeg,,Public Domain (CC0 1.0),Y,https://creativecommons.org/publicdomain/zero/1.0/
Etr009,Etruscan_ornament.jpeg,Etruscan Miniature Ornament,,,Reproduction of agold minatiure figurine feature in a feline body and human-like head.,Ornaments; House furnishings,Gold,.6 cm (width),,Medelhavsmuseet,Image; Stillimage,Image/jpeg,,CC BY 4.0,Y,http://creativecommons.org/licenses/by/4.0/
Etr010,Etruscan_votive.jpeg,Etruscan Votive Sculpture,,,A cermaic votive fragment of a foot. Likely part of a larger figure or model.,Votive offerings; Festival architecture; Festivals; Religious life; Ceramics,Terracotta,18.2 cm (length),,Medelhavsmuseet,Image; Stillimage,Image/jpeg,,CC BY 4.0,Y,http://creativecommons.org/licenses/by/4.0/
Etr011,Etruscan_stamnos.jpeg,Etruscan Stamnos,,500 B.C.E.,"Fabricated around 500 BC by the Micali Painter, a prominent Etruscan black-figure vase painter with a orkshop in Vulci, named after the pioneer of Etruscan archaeology, Giuseppe Micali. The neck is covered in black slip, with a running horse and a winged griffin between the handles. ",Art; Ceramics; Religious life,Terracotta,,"Rome, IT",Historical Museum,Image; Stillimage,Image/jpeg,,CC BY 4.0,Y,http://creativecommons.org/licenses/by/4.0/
Etr012,Etruscan_Etruria.pdf,Tour to the Sepulchres of Etruria,"Gray, Elizabeth C.",1840 C.E.,Detailed recount of a tour of the catacombs of Etruria.,Catacombs; Funeral decorations; Religious Life--Greek Pantheon,Ink,,"Etruria, IT",Heidelberg University Library,Application; PDF,application/pdf,eng,CC BY-SA 3.0,Y,https://creativecommons.org/licenses/by-sa/3.0/
Etr013,Etruscan_tomb_fragment.jpeg,Etruscan Tomb Fragment,,,Fragment of the tomb of Nikarete from Athens. The fragment depicts a veiled woman looking slightly downwad longoingly.,Catacombs; Architecture; Funeral decorations; Religious Life--Greek Pantheon; Masonry,Marble,118 x 56 cm,,SPK - Stiftung Preußischer Kulturbesitz,Image; Stillimage,Image/jpeg,,CC BY 4.0,Y,https://creativecommons.org/licenses/by/4.0/
Etr014,Funerary_stele.jpeg,Funerary Stele,,,Tombstone with name inscription: Silenis (daughter of Myiskos from Boeotia) with a small servant girl.,Catacombs; Architecture; Funeral decorations; Religious Life--Greek Pantheon; Masonry,Marble,110 x 50 cm,,SPK - Stiftung Preußischer Kulturbesitz,Image; Stillimage,image/jpeg,gre,CC BY 4.0,Y,http://creativecommons.org/licenses/by/4.0/
Etr015,Etruscan_helmet.jpeg,Etruscan Helmet,"Bromet, William",,"The drawing shows a bronze helmet with a crest and ear pieces, decorated with circles, found in making a road between Innsbruck and Bixen, and thought by Dr Bromet to be of Etruscan form.",Armor; Helmets; Reproductions,Ink,,,Archaeology Data Service,Image; Stillimage,image/jpeg,eng,CC (educational use only),Y,http://rightsstatements.org/vocab/InC-EDU/1.0/